name,salary,published_at,area_name
Менеджер проекта по внедрению ERP системы /финансово бухгалтерский блок/,101668.0,2003-09-03 00:00:00+04:00,Москва
Руководитель проекта внедрения (Oracle EBS),76535.0,2003-10-27 00:00:00+03:00,Москва
Менеджер проекта  (Project Manager) по внедрению новых услуг,,2003-08-11 12:06:39+04:00,Москва
Аналитик по ценным бумагам в области рынка HI TECH,,2003-10-07 00:00:00+04:00,Москва
Менеджер по продажам IT проектов,151395.0,2003-08-29 00:00:00+04:00,Москва
Менеджер по работе с клиентами,151395.0,2003-08-29 00:00:00+04:00,Москва
Директор по маркетингу и PR,,2003-08-28 00:00:00+04:00,Москва
Инженер группы внедрения программных продуктов,22304.0,2003-12-01 00:00:00+03:00,Санкт-Петербург
Service Project Manager,52044.0,2003-10-07 00:00:00+04:00,Москва
Тест,,2003-08-14 12:11:43+04:00,Москва
Deputy Head of IT,,2003-08-14 13:28:33+04:00,Москва
PHP-программист,,2003-08-14 16:30:05+04:00,Москва
Web-дизайнер,,2003-08-14 16:35:38+04:00,Москва
Специалист по SAP R/3,60558.0,2003-08-14 17:40:03+04:00,Москва
Менеджер по работе с клиентами,,2003-08-14 18:01:10+04:00,Москва
Руководитель направления (оказание консультационных услуг крупным предприятиям нефтегазового комплекса),,2003-08-14 18:15:31+04:00,Москва
Координатор информационной системы,,2003-08-14 19:03:30+04:00,Москва
Специалист по поддержке банковских приложений,75697.0,2003-08-15 11:37:41+04:00,Москва
IT- специалист,,2003-08-15 12:05:42+04:00,Москва
IT - директор (CIO),106762.0,2003-09-10 00:00:00+04:00,Москва
Руководитель отдела маркетинга,75697.0,2003-08-15 13:05:04+04:00,Москва
Специалист службы технической поддержки,,2003-08-15 13:27:20+04:00,Москва
Sales Director,151395.0,2003-08-15 15:01:10+04:00,Москва
"Ассистент менеджера по закупкам. Код вакансии: ""К-МЭ""",,2003-11-12 00:00:00+03:00,Москва
Системный аналитик,45418.0,2003-08-15 18:20:06+04:00,Москва
Программист 1С,,2003-08-15 18:39:27+04:00,Москва
Architect,,2003-09-09 00:00:00+04:00,Москва
IT Business Analyst,,2003-08-15 18:58:14+04:00,Москва
Программист (крупная западная компания),,2003-09-09 00:00:00+04:00,Москва
Oper Security Officer,,2003-08-15 19:11:14+04:00,Москва
Менеджер по IT и системному интегрированию,91510.0,2003-09-05 00:00:00+04:00,Москва
Business Application Specialist,43904.0,2003-08-18 10:15:10+04:00,Москва
Database Developer/Business analyst,48446.0,2003-08-18 10:39:13+04:00,Москва
Developer and Analyst,30279.0,2003-08-18 10:53:37+04:00,Москва
Systems Management Consultant,,2003-08-18 11:22:12+04:00,Москва
Sales Manager,90837.0,2003-08-18 11:47:53+04:00,Москва
Программист 1С,,2003-08-18 12:28:59+04:00,Москва
Программист 1С,,2003-08-18 12:46:54+04:00,Москва
Системный администратор,12111.0,2003-08-18 13:30:28+04:00,Москва
Rational Product Technical Sales,90837.0,2003-08-18 15:15:55+04:00,Москва
Product Manager,60558.0,2003-08-18 15:48:40+04:00,Москва
ERP - consultant,54502.0,2003-08-18 17:35:51+04:00,Москва
Программист,24223.0,2003-08-18 18:40:13+04:00,Москва
SNA / IT - manager,39362.0,2003-08-18 18:44:42+04:00,Москва
Начальник юридического отдела,,2003-08-18 18:52:01+04:00,Москва
Разработчик биллинговой системы (С++/Oracle),41634.0,2003-12-02 00:00:00+03:00,Москва
Telecom Engineer,45418.0,2003-08-19 11:17:22+04:00,Москва
Internet Product Manager,,2003-08-19 11:58:51+04:00,Москва
Sales Engineer,60558.0,2003-08-19 13:40:44+04:00,Москва
PR-менеджер,,2003-08-19 13:48:08+04:00,Москва
"Программист /  хорошее знание Delphi, SQL",36604.0,2003-09-04 00:00:00+04:00,Москва
NET Программист,27251.0,2003-08-19 15:19:39+04:00,Москва
Инженер-проектировщик,15139.0,2003-08-19 15:51:06+04:00,Москва
Системный инженер,21195.0,2003-08-19 15:59:16+04:00,Москва
Менеджер по продажам,24223.0,2003-08-19 16:04:44+04:00,Москва
Аудитор,30279.0,2003-08-28 00:00:00+04:00,Москва
Web Developer,,2003-08-26 00:00:00+04:00,Санкт-Петербург
Аккаунт Менеджер/Account Manager,,2003-08-19 16:51:51+04:00,Москва
Системный администратор,9992.0,2003-08-19 17:13:18+04:00,Санкт-Петербург
Программист,30279.0,2003-08-19 19:02:37+04:00,Москва
INTERNET BANKING PRODUCT MANAGER,90837.0,2003-08-19 21:07:11+04:00,Москва
Менеджер по продаже транспортных услуг,44917.0,2003-11-10 00:00:00+03:00,Москва
Оператор базы данных,,2003-09-15 00:00:00+04:00,Москва
IT Specialist (Financial System Support),75697.0,2003-08-20 11:49:57+04:00,Москва
Программист Navision,,2003-12-02 00:00:00+03:00,Москва
Программист-разработчик,,2003-08-20 14:38:31+04:00,Москва
Руководитель группы разработчиков,,2003-08-20 14:48:12+04:00,Москва
Менеджер по качеству,,2003-08-20 14:54:34+04:00,Москва
"Консультант по внедрению SAP/R3 (FI, CO, MM)",75697.0,2003-08-20 14:59:12+04:00,Москва
Менеджер проекта,,2003-08-20 15:00:04+04:00,Москва
Менеджер проекта,,2003-08-20 15:16:01+04:00,Москва
"Ассистент консультанта (SAP/R3, MM, CO)",24402.0,2003-09-15 00:00:00+04:00,Москва
Менеджер по продажам,,2003-08-20 15:20:47+04:00,Москва
Руководитель проекта,,2003-08-20 15:25:15+04:00,Москва
Менеджер по работе с корпоративными клиентами,,2003-08-20 15:53:06+04:00,Москва
Менеджер по работе с корпоративными клиентами,,2003-08-20 15:53:06+04:00,Москва
Инженер электрик,,2003-08-20 15:56:22+04:00,Москва
Менеджер по работе с партнерами (вендоры),36334.0,2003-08-20 15:59:10+04:00,Москва
Руководитель отдела нефти и газа,,2003-08-20 16:01:39+04:00,Москва
Аккаунт Менеджер/Account Manager,,2003-08-20 16:40:01+04:00,Москва
Sales and Marketing specialist,30279.0,2003-08-20 18:30:19+04:00,Москва
Менеджер по продажам,45418.0,2003-08-20 18:35:00+04:00,Москва
Менеджер по продуктам Allied Telesyn,,2003-08-20 19:01:12+04:00,Москва
Системный администратор,17843.0,2003-12-19 00:00:00+03:00,Москва
Сервис - инженер на выдачу,7569.0,2003-08-21 11:37:23+04:00,Санкт-Петербург
"Системный администратор. Код вакансии: ""К-СА""",,2003-10-02 00:00:00+04:00,Москва
"Волонтёр (добровольный помощник в общественную организацию) / Проф.применение: оператор PC, работа для студентов, секретарь, юрист, врач, менеджер)",,2003-12-29 00:00:00+03:00,Москва
Network Administrator,,2003-08-21 18:15:45+04:00,Москва
