name,salary_from,salary_to,salary_currency,area_name,published_at
Намотчик спиралей и сеток,25000.0,40000.0,RUR,Новосибирск,2022-12-05T07:18:18+0300
Специалист по сопровождению информационных систем,,,,Екатеринбург,2022-12-05T07:35:17+0300
Токарь (в ОГМ),35000.0,45000.0,RUR,Омск,2022-12-05T06:05:22+0300
Главный механик обогатительной фабрики,,,,Усть-Каменогорск,2022-12-05T07:19:31+0300
Шлифовщик,40000.0,80000.0,RUR,Омск,2022-12-05T06:08:06+0300
Токарь 3-5 разряда в г Котово (Волгоградская область),20000.0,,RUR,Котово,2022-12-05T06:37:26+0300
Аналитик отдела внедрения ПО,,,,Екатеринбург,2022-12-05T07:35:20+0300
Графический дизайнер,100000.0,,KZT,Кокшетау,2022-12-05T06:44:17+0300
Мiddle Node.js разработчик,90000.0,120000.0,RUR,Тюмень,2022-12-05T07:55:32+0300
Консультант-аналитик 1С (Академгородок),80000.0,120000.0,RUR,Новосибирск,2022-12-05T07:02:45+0300
Программист 1С,,,,Тюмень,2022-12-05T07:11:50+0300
Ведущий инженер-программист (Курган),29202.0,29202.0,RUR,Курган,2022-12-05T07:11:52+0300
Аналитик бизнес-процессов,,,,Новосибирск,2022-12-05T06:26:09+0300
Ученик оператора станков с ЧПУ,30000.0,,RUR,Белорецк,2022-12-05T07:07:59+0300
Электромеханик лифтового оборудования/водитель,30000.0,,RUR,Иркутск,2022-12-05T05:08:30+0300
Фрезеровщик,45000.0,,RUR,Челябинск,2022-12-05T06:16:43+0300
"Токарь-расточник (4-6 разряд) ""ПО ""Полет""",50000.0,120000.0,RUR,Омск,2022-12-05T04:43:37+0300
"Инженер-программист-администратор, Сектор системотехники и базового программного обеспечения",,,,Темиртау,2022-12-05T06:48:13+0300
Токарь-универсал,30000.0,80000.0,RUR,Челябинск,2022-12-05T06:16:59+0300
Программист 1С,,,,Уфа,2022-12-05T07:50:08+0300
Токарь-универсал,40000.0,45000.0,RUR,Новоалтайск,2022-12-05T06:49:26+0300
Дизайнер,,,,Семей,2022-12-05T07:23:43+0300
Программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-05T06:43:20+0300
Главный механик обогатительной фабрики,,,,Павлодар,2022-12-05T07:19:31+0300
Руководитель службы эксплуатации ЦОД (сфера IT),,,,Красноярск,2022-12-05T05:02:49+0300
Программист 1С (1 категории),73000.0,86000.0,RUR,Новосибирск,2022-12-05T06:00:13+0300
Токарь-револьверщик,40000.0,,RUR,Уфа,2022-12-05T06:41:25+0300
.NET Developer,,,,Астана,2022-12-05T07:28:19+0300
Разработчик 1С,,,,Новосибирск,2022-12-05T05:47:13+0300
Главный механик обогатительной фабрики,,,,Семей,2022-12-05T07:19:31+0300
Наладчик станков и манипуляторов С ПУ,,,,Омск,2022-12-05T04:41:49+0300
